Model,Feature,Importance
cleaned_serviceindustry 3_LinearRegression,tech_tf_client_roles_web_public_interface,7815018568743611.0
cleaned_serviceindustry 3_LinearRegression,tech_tf_client_roles_web_html_browser,6802255673497245.0
cleaned_serviceindustry 3_LinearRegression,tech_tf_client_roles_run_a_computer_human_interface,6706486290985934.0
cleaned_serviceindustry 3_LinearRegression,tech_tf_client_roles_security,6460596887744998.0
cleaned_serviceindustry 3_LinearRegression,external_eef_organisation_type,6284305415994417.0
cleaned_serviceindustry 3_LinearRegression,tech_tf_primary_programming_language,6073821213650151.0
cleaned_serviceindustry 3_LinearRegression,tech_tf_server_roles_file_print_server,4918887980251854.0
cleaned_serviceindustry 3_LinearRegression,tech_tf_server_roles_mail_server,4396699965996884.0
cleaned_serviceindustry 3_LinearRegression,project_prf_max_team_size,4177651653385479.5
cleaned_serviceindustry 3_LinearRegression,tech_tf_server_roles_object_component_server,3985206393072680.5
cleaned_serviceindustry 3_LinearRegression,external_eef_industry_sector_service_industry,3965568046102747.0
cleaned_serviceindustry 3_LinearRegression,tech_tf_server_roles_database_server,3925940899956395.5
cleaned_serviceindustry 3_LinearRegression,tech_tf_server_roles_messaging_server,3872356714515226.5
cleaned_serviceindustry 3_LinearRegression,tech_tf_server_roles_missing,3741464502042256.5
cleaned_serviceindustry 3_LinearRegression,tech_tf_server_roles_html_web_server,3648740371127172.5
cleaned_serviceindustry 3_LinearRegression,process_pmf_development_methodologies_missing,3406374238581121.0
cleaned_serviceindustry 3_LinearRegression,process_pmf_development_methodologies_iterative,3283090438623674.0
cleaned_serviceindustry 3_LinearRegression,project_prf_application_type,3234789760422689.5
cleaned_serviceindustry 3_LinearRegression,tech_tf_server_roles_multi_user_legacy_application,3230719164294315.5
cleaned_serviceindustry 3_LinearRegression,people_prf_personnel_changes,3116949976758851.5
cleaned_serviceindustry 3_LinearRegression,project_prf_team_size_group_5_8,3103739099461115.0
cleaned_serviceindustry 3_LinearRegression,tech_tf_server_roles_security_authentication,2857997857815084.5
cleaned_serviceindustry 3_LinearRegression,project_prf_functional_size,2827382684084179.0
cleaned_serviceindustry 3_LinearRegression,tech_tf_server_roles_ftp_server,2790544428472104.5
cleaned_serviceindustry 3_LinearRegression,process_pmf_development_methodologies_spiral,2654671333465542.5
cleaned_serviceindustry 3_LinearRegression,process_pmf_docs,2516160110745234.0
cleaned_serviceindustry 3_LinearRegression,tech_tf_client_roles_business_logic_or_rule_processing,2329898298613241.0
cleaned_serviceindustry 3_LinearRegression,tech_tf_client_roles_data_retrieval_and_presentation,2297213842445679.0
cleaned_serviceindustry 3_LinearRegression,process_pmf_development_methodologies_agile_development,2257301463171364.0
cleaned_serviceindustry 3_LinearRegression,process_pmf_development_methodologies_scrum,2153955516509517.2
cleaned_serviceindustry 3_LinearRegression,tech_tf_tools_used,2153955516509511.8
cleaned_serviceindustry 3_LinearRegression,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,2096556495739507.2
cleaned_serviceindustry 3_LinearRegression,process_pmf_development_methodologies_multifunctional_teams,2014729088184706.8
cleaned_serviceindustry 3_LinearRegression,project_prf_application_group_business_application,1759868976301724.5
cleaned_serviceindustry 3_LinearRegression,tech_tf_client_roles_data_entry_and_validation,1671983787065690.0
cleaned_serviceindustry 3_LinearRegression,process_pmf_development_methodologies_unified_process,1244194554745321.5
cleaned_serviceindustry 3_LinearRegression,project_prf_application_group_missing,3241.25
cleaned_serviceindustry 2_BayesianRidge,project_prf_application_group_missing,3170.0269408685263
cleaned_financial 3_BayesianRidge,external_eef_industry_sector_banking,3053.7979916029076
cleaned_medical 3_BayesianRidge,external_eef_industry_sector_banking,3053.7979916029076
cleaned_insurance 3_LassoLars,project_prf_functional_size,1982.7276323599785
cleaned_insurance 2_Lasso,project_prf_functional_size,1976.9303973462893
cleaned_serviceindustry 3_LinearRegression,project_prf_application_group_mathematically_intensive_application,1918.0
cleaned_serviceindustry 2_BayesianRidge,project_prf_application_group_mathematically_intensive_application,1904.8970101341297
cleaned_medical 3_BayesianRidge,external_eef_industry_sector_financial,1680.881398222408
cleaned_financial 3_BayesianRidge,external_eef_industry_sector_financial,1680.881398222408
cleaned_serviceindustry 3_LinearRegression,project_prf_year_of_project,1449.7552509689237
cleaned_serviceindustry 2_BayesianRidge,project_prf_year_of_project,1405.0631160073372
cleaned_serviceindustry 3_LinearRegression,tech_tf_architecture_client_server,877.0
cleaned_serviceindustry 2_BayesianRidge,tech_tf_architecture_client_server,870.1365409541772
cleaned_communication 3_LassoLars,project_prf_functional_size,850.833294765573
cleaned_communication 2_Lasso,project_prf_functional_size,836.5963751446429
cleaned_communication 1_BayesianRidge,project_prf_functional_size,799.6393305762556
cleaned_medical 3_BayesianRidge,project_prf_relative_size_xl,669.1497410333625
cleaned_financial 3_BayesianRidge,project_prf_relative_size_xl,669.1497410333625
cleaned_serviceindustry 3_LinearRegression,tech_tf_architecture_stand_alone_1,617.5
cleaned_serviceindustry 2_BayesianRidge,tech_tf_architecture_stand_alone_1,602.4909692546339
cleaned_medical 2_LGBMRegressor,external_eef_industry_sector_banking,480.0
cleaned_financial 2_LGBMRegressor,external_eef_industry_sector_banking,480.0
cleaned_serviceindustry 3_LinearRegression,tech_tf_client_server_yes,477.5
cleaned_serviceindustry 2_BayesianRidge,tech_tf_client_server_yes,470.4267346513919
cleaned_serviceindustry 3_LinearRegression,tech_tf_language_type_4gl,451.125
cleaned_serviceindustry 2_BayesianRidge,tech_tf_language_type_4gl,447.06505067640893
cleaned_medical 3_BayesianRidge,tech_tf_development_platform_proprietary,432.7595086624783
cleaned_financial 3_BayesianRidge,tech_tf_development_platform_proprietary,432.7595086624783
cleaned_serviceindustry 3_LinearRegression,project_prf_relative_size_s,427.0
cleaned_serviceindustry 2_BayesianRidge,project_prf_relative_size_s,418.03437957374763
cleaned_serviceindustry 3_LinearRegression,project_prf_relative_size_l,395.5
cleaned_serviceindustry 2_BayesianRidge,project_prf_relative_size_l,391.4058798638041
cleaned_serviceindustry 3_LinearRegression,tech_tf_dbms_used_no,369.125
cleaned_serviceindustry 3_LinearRegression,project_prf_team_size_group_31_40,364.5
cleaned_serviceindustry 2_BayesianRidge,project_prf_team_size_group_31_40,360.92923804251586
cleaned_serviceindustry 3_LinearRegression,project_prf_development_type_new_development,359.5
cleaned_serviceindustry 2_BayesianRidge,project_prf_development_type_new_development,351.1887292844187
cleaned_serviceindustry 2_BayesianRidge,tech_tf_dbms_used_no,350.406993869879
cleaned_serviceindustry 3_LinearRegression,project_prf_application_group_real_time_application,322.75
cleaned_serviceindustry 2_BayesianRidge,process_pmf_development_methodologies_missing,321.4330382758816
cleaned_serviceindustry 2_BayesianRidge,project_prf_application_group_real_time_application,314.861117644033
cleaned_serviceindustry 3_LinearRegression,tech_tf_client_roles_missing,314.6777999829501
cleaned_serviceindustry 2_BayesianRidge,tech_tf_client_roles_missing,313.78787280771246
cleaned_medical 3_BayesianRidge,project_prf_team_size_group_9_14,307.5838530343174
cleaned_financial 3_BayesianRidge,project_prf_team_size_group_9_14,307.5838530343174
cleaned_medical 3_BayesianRidge,project_prf_application_group_infrastructure_software,291.9839783350181
cleaned_financial 3_BayesianRidge,project_prf_application_group_infrastructure_software,291.9839783350181
cleaned_serviceindustry 3_LinearRegression,tech_tf_client_server_missing,264.0
cleaned_serviceindustry 2_BayesianRidge,tech_tf_client_server_missing,263.9870901654222
cleaned_serviceindustry 2_BayesianRidge,tech_tf_client_server_don_t_know,255.0557114368828
cleaned_serviceindustry 2_BayesianRidge,tech_tf_language_type_2gl,250.2950476544226
cleaned_serviceindustry 3_LinearRegression,tech_tf_client_server_don_t_know,250.0
cleaned_serviceindustry 3_LinearRegression,project_prf_team_size_group_3_4,250.0
cleaned_serviceindustry 2_BayesianRidge,tech_tf_client_roles_security,249.78776136906652
cleaned_serviceindustry 3_LinearRegression,tech_tf_language_type_2gl,247.5
cleaned_medical 3_BayesianRidge,tech_tf_language_type_3gl,247.41529617910612
cleaned_financial 3_BayesianRidge,tech_tf_language_type_3gl,247.41529617910612
cleaned_medical 2_LGBMRegressor,external_eef_industry_sector_financial,244.0
cleaned_financial 2_LGBMRegressor,external_eef_industry_sector_financial,244.0
cleaned_serviceindustry 2_BayesianRidge,tech_tf_client_roles_web_public_interface,243.760113731174
cleaned_financial 3_BayesianRidge,tech_tf_primary_programming_language,243.29077866018082
cleaned_medical 3_BayesianRidge,tech_tf_primary_programming_language,243.29077866018082
cleaned_serviceindustry 2_BayesianRidge,project_prf_team_size_group_3_4,242.985797447417
cleaned_financial 3_BayesianRidge,project_prf_application_group_real_time_application,241.28032954276955
cleaned_medical 3_BayesianRidge,project_prf_application_group_real_time_application,241.28032954276955
cleaned_serviceindustry 3_LinearRegression,functional_size_group_s_100,227.9375
cleaned_serviceindustry 2_BayesianRidge,functional_size_group_s_100,222.86975689653767
cleaned_financial 3_BayesianRidge,project_prf_case_tool_used_yes,221.96160001673968
cleaned_medical 3_BayesianRidge,project_prf_case_tool_used_yes,221.96160001673968
