,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
br,Bayesian Ridge,1554.2478,4588367.329,2139.9842,0.1857,0.9438,1.3727,0.085
lasso,Lasso Regression,1553.8541,4591788.516,2140.8754,0.1849,0.9405,1.3607,0.07
llar,Lasso Least Angle Regression,1553.8535,4591787.5457,2140.8751,0.1849,0.9405,1.3607,0.056
ridge,Ridge Regression,1554.2575,4593395.5882,2141.2581,0.1846,0.9413,1.3601,0.06
lar,Least Angle Regression,1554.259,4593423.9214,2141.2651,0.1846,0.9413,1.36,0.062
lr,Linear Regression,1554.542,4593776.1121,2141.3536,0.1845,0.942,1.3608,1.322
gbr,Gradient Boosting Regressor,1554.5564,4650026.8871,2153.9228,0.1752,0.9351,1.3618,0.547
en,Elastic Net,1570.3808,4654271.7359,2154.8278,0.1751,0.9615,1.4538,0.054
omp,Orthogonal Matching Pursuit,1567.82,4684128.0675,2162.2823,0.1687,0.9507,1.4078,0.052
huber,Huber Regressor,1484.3782,4752468.86,2177.59,0.1573,0.8861,1.1037,0.095
lightgbm,Light Gradient Boosting Machine,1565.6148,4753703.2343,2178.1003,0.1562,0.9337,1.3359,0.385
rf,Random Forest Regressor,1593.4048,4788415.3645,2185.2628,0.1514,0.9504,1.396,1.856
par,Passive Aggressive Regressor,1486.0585,4917905.8665,2215.4721,0.1273,0.8861,1.0058,0.074
et,Extra Trees Regressor,1632.6283,5033486.9161,2240.9463,0.1071,0.9632,1.426,1.975
dummy,Dummy Regressor,1755.4687,5652917.7872,2374.3944,-0.001,1.068,1.784,0.055
knn,K Neighbors Regressor,1722.3158,5831148.8822,2412.3031,-0.0345,1.0216,1.4554,0.083
ada,AdaBoost Regressor,2159.4174,6801880.2937,2597.1791,-0.2064,1.1835,2.4119,0.253
dt,Decision Tree Regressor,2148.9453,9455779.8984,3072.0311,-0.6802,1.2311,1.624,0.104
