Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1625.8153,5175541.6092,2274.9817,0.2026,0.9549,1.3953
1,1535.8172,4612284.1455,2147.6229,0.1658,0.941,1.3883
2,1526.0145,4581559.0558,2140.4577,0.2271,0.9505,1.3398
3,1503.898,4487247.0147,2118.3123,0.1573,0.9133,1.2868
4,1570.4564,4661834.0686,2159.1281,0.2316,0.9586,1.4498
5,1523.2278,4087923.0472,2021.8613,0.1894,0.9433,1.3673
6,1553.4336,4755405.9933,2180.6893,0.2121,0.9235,1.3408
7,1643.1003,4840240.3446,2200.0546,0.149,0.9773,1.4606
8,1444.5483,3735156.3273,1932.6553,0.1493,0.9068,1.2879
9,1616.2027,4946313.9159,2224.031,0.1733,0.9675,1.411
Mean,1554.2514,4588350.5522,2139.9794,0.1857,0.9437,1.3728
Std,58.1262,394828.5529,94.0141,0.0298,0.0219,0.0571
