Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1621.4162,5173746.8246,2274.5872,0.2029,0.9522,1.3897
1,1534.6321,4616019.8254,2148.4925,0.1651,0.9389,1.3816
2,1522.2322,4571169.0229,2138.0292,0.2288,0.9488,1.3322
3,1504.09,4498375.5353,2120.9374,0.1552,0.9117,1.2822
4,1566.1183,4651542.6328,2156.7435,0.2333,0.9563,1.4424
5,1525.0617,4090570.5932,2022.5159,0.1888,0.9383,1.3635
6,1550.5508,4750741.957,2179.6197,0.2128,0.9205,1.3322
7,1638.5527,4821767.8144,2195.8524,0.1522,0.9746,1.4545
8,1442.0354,3731316.2108,1931.6615,0.1502,0.9049,1.2823
9,1610.8569,4930126.0259,2220.3887,0.176,0.9625,1.4051
Mean,1551.5546,4583537.6442,2138.8828,0.1865,0.9409,1.3666
Std,56.8107,391862.7952,93.3702,0.03,0.0215,0.0569
