Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1622.2161,5161993.8177,2272.0022,0.2047,0.9527,1.382
1,1538.4094,4631068.1717,2151.9917,0.1624,0.9407,1.3786
2,1521.8044,4565004.3089,2136.5871,0.2299,0.9304,1.3214
3,1504.0283,4508004.4537,2123.2062,0.1534,0.9101,1.2708
4,1566.6219,4642996.8511,2154.7614,0.2347,0.955,1.4374
5,1523.9235,4104457.1054,2025.946,0.1861,0.9442,1.3525
6,1554.2119,4757240.7034,2181.11,0.2118,0.9236,1.3321
7,1644.9688,4847242.6447,2201.6454,0.1477,0.9765,1.4523
8,1445.7445,3757349.3816,1938.3883,0.1442,0.9055,1.2758
9,1617.8035,4947309.1618,2224.2547,0.1731,0.9695,1.402
Mean,1553.9732,4592266.66,2140.9893,0.1848,0.9408,1.3605
Std,57.9307,385984.5707,91.8231,0.0321,0.0225,0.0587
