,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
gbr,Gradient Boosting Regressor,2433.4577,14076595.3293,3746.3186,0.6049,1.1385,2.2454,0.635
et,Extra Trees Regressor,2501.9525,15008457.1567,3866.8262,0.5804,1.1299,2.3057,2.968
rf,Random Forest Regressor,2492.5529,15001146.9766,3864.6895,0.58,1.1129,2.213,2.427
br,Bayesian Ridge,2614.3338,15050412.7157,3873.6543,0.5799,1.3239,3.6538,0.12
lasso,Lasso Regression,2618.7366,15048303.9263,3873.4818,0.5798,1.326,3.6765,0.064
llar,Lasso Least Angle Regression,2618.739,15048344.3463,3873.4865,0.5798,1.326,3.6765,0.085
ridge,Ridge Regression,2619.9826,15052295.857,3874.0075,0.5797,1.3225,3.6855,0.066
lr,Linear Regression,2622.0394,15065343.0526,3875.6211,0.5794,1.3279,3.6924,0.079
omp,Orthogonal Matching Pursuit,2608.8384,15226180.5949,3895.5737,0.5751,1.3004,3.3354,0.074
lar,Least Angle Regression,2632.1678,15269167.128,3901.4661,0.5734,1.327,3.7239,0.08
huber,Huber Regressor,2491.268,15885269.8436,3977.6802,0.5578,1.2152,2.7671,0.124
par,Passive Aggressive Regressor,2492.1165,16252497.443,4022.8536,0.5478,1.2079,2.6525,0.085
en,Elastic Net,2656.128,16481321.4123,4050.9125,0.5417,1.2927,3.4437,0.064
knn,K Neighbors Regressor,3310.2036,25729462.7784,5064.9873,0.2817,1.4971,4.8083,0.086
ada,AdaBoost Regressor,4764.1161,30140552.5176,5459.3276,0.1632,1.9687,12.797,0.596
dt,Decision Tree Regressor,3431.2296,30020948.5316,5466.2211,0.1603,1.411,2.51,0.112
dummy,Dummy Regressor,4220.2549,36020181.8777,5989.9377,-0.0017,1.8811,11.4062,0.062
