Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2553.8843,15524540.875,3940.1194,0.5792,1.1526,2.1356
1,2521.3555,14908545.7613,3861.1586,0.5642,1.115,1.9983
2,2615.1617,15991042.5375,3998.8802,0.5257,1.1743,2.339
3,2533.1476,14928604.5253,3863.7552,0.6382,1.2362,2.4644
4,2348.5198,12662118.8434,3558.3871,0.5711,1.2046,2.4144
5,2624.125,18540013.7297,4305.8116,0.5856,1.1984,2.3422
6,2604.5448,17641951.9368,4200.2324,0.4071,1.2186,2.2843
7,2492.1711,14970581.9315,3869.1836,0.5584,1.1502,2.2033
8,2760.8362,17463882.2375,4178.981,0.523,1.1939,2.3374
9,2702.6712,17747775.1538,4212.8108,0.5455,1.135,1.9327
Mean,2575.6417,16037905.7532,3998.932,0.5498,1.1779,2.2452
Std,109.0684,1705796.912,215.5195,0.0569,0.037,0.1665
