Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2397.905,13349827.867,3653.7416,0.6382,1.1239,2.3675
1,2440.5257,13591216.035,3686.6266,0.6027,1.113,2.1828
2,2566.5671,15088617.0088,3884.4069,0.5524,1.1636,2.5494
3,2471.0976,15096641.1685,3885.4396,0.6341,1.1973,2.6532
4,2242.6568,11041982.0637,3322.9478,0.626,1.2325,2.934
5,2549.1768,18225106.8075,4269.0874,0.5927,1.1832,2.533
6,2422.3629,14149710.9491,3761.6102,0.5244,1.1603,2.4078
7,2474.9741,14593731.1591,3820.1742,0.5695,1.1507,2.4215
8,2547.5384,15620987.0105,3952.3394,0.5734,1.1887,2.5877
9,2553.1391,15645014.7218,3955.3779,0.5993,1.1056,2.1493
Mean,2466.5943,14640283.4791,3819.1752,0.5913,1.1619,2.4786
Std,94.0474,1766009.8433,232.7756,0.0349,0.0381,0.2178
