Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2366.5161,13348945.7907,3653.6209,0.6382,1.0565,2.0265
1,2423.3493,13901611.8314,3728.4865,0.5937,1.0616,1.8887
2,2526.8422,14787119.479,3845.4024,0.5614,1.1084,2.3016
3,2414.2987,14137991.1738,3760.052,0.6573,1.1148,2.2044
4,2210.9235,10902874.7297,3301.9501,0.6307,1.1514,2.4826
5,2533.8677,18179828.9137,4263.7811,0.5937,1.1332,2.2591
6,2493.1201,16348620.0369,4043.3427,0.4505,1.1058,2.1169
7,2425.7102,13843091.6957,3720.6306,0.5917,1.0915,2.1124
8,2537.082,16085062.4672,4010.6187,0.5607,1.1267,2.2603
9,2561.4632,15999590.9296,3999.9489,0.5902,1.0632,1.8946
Mean,2449.3173,14753473.7048,3832.7834,0.5868,1.1013,2.1547
Std,100.7484,1906425.0464,251.486,0.0544,0.0309,0.1765
