Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1270.9374,3772410.9541,1942.2695,0.4913,1.1251,1.9362
1,1357.75,4263375.3055,2064.7943,0.5448,1.1094,1.8977
2,1341.5812,4219038.1184,2054.0297,0.4865,1.132,2.0122
3,1434.1431,4667118.7203,2160.3515,0.4455,1.1346,2.059
4,1415.6659,4802903.7989,2191.5528,0.49,1.1691,2.1421
5,1329.6299,4147819.6881,2036.6197,0.4385,1.1884,2.178
6,1348.8487,4548307.119,2132.676,0.4899,1.1274,1.9714
7,1330.3182,4518099.5695,2125.5822,0.4996,1.0972,1.8923
8,1357.4695,4638087.9772,2153.6221,0.5228,1.1858,2.2292
9,1375.2147,4405292.4664,2098.8789,0.5467,1.0905,1.7071
Mean,1356.1558,4398245.3717,2096.0377,0.4956,1.1359,2.0025
Std,43.4628,288995.8355,69.7959,0.0342,0.0329,0.1486
