Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1193.463,3147980.8324,1774.255,0.5755,1.1713,2.2439
1,1328.3602,3843675.4545,1960.5294,0.5896,1.1928,2.3497
2,1309.6847,3751569.0763,1936.8968,0.5434,1.1844,2.4489
3,1305.5113,3908983.0257,1977.1148,0.5356,1.1352,2.1226
4,1373.1966,4139536.1176,2034.585,0.5605,1.2402,2.6267
5,1288.7083,3504832.5898,1872.1198,0.5256,1.2267,2.3916
6,1331.4283,4212180.3701,2052.3597,0.5276,1.2155,2.4614
7,1308.2673,4115249.7699,2028.6078,0.5442,1.2132,2.3547
8,1315.6057,4125339.7228,2031.0932,0.5756,1.1718,2.3013
9,1305.6041,3857924.5797,1964.16,0.603,1.1574,2.1951
Mean,1305.983,3860727.1539,1963.1722,0.5581,1.1908,2.3496
Std,43.2862,313889.5291,81.7449,0.0256,0.0314,0.1378
