Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1200.2689,3157837.1043,1777.0304,0.5742,1.1598,2.2587
1,1332.5789,3838337.6166,1959.1676,0.5901,1.1983,2.3942
2,1314.9954,3757240.4117,1938.3602,0.5427,1.2106,2.4905
3,1316.0063,3934385.2357,1983.5285,0.5326,1.1476,2.1706
4,1382.7639,4156858.7034,2038.8376,0.5586,1.2704,2.695
5,1293.302,3513408.8383,1874.4089,0.5244,1.2735,2.4349
6,1340.9464,4241554.6058,2059.5035,0.5243,1.212,2.5418
7,1316.8125,4128418.4749,2031.851,0.5427,1.2174,2.4251
8,1320.5318,4125298.7589,2031.0831,0.5756,1.177,2.3202
9,1311.39,3870818.5064,1967.4396,0.6017,1.1893,2.246
Mean,1312.9596,3872415.8256,1966.121,0.5567,1.2056,2.3977
Std,43.8343,316928.4698,82.3642,0.0262,0.0395,0.1483
