Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2921.1515,19520962.1115,4418.2533,0.6352,1.1565,2.1008
1,2991.7948,21586712.3689,4646.1503,0.5542,1.1879,2.2772
2,2966.4376,20991711.1782,4581.6712,0.6259,1.2235,2.417
3,2984.1143,20786063.2006,4559.1735,0.6003,1.2125,2.2695
4,3057.4648,21792779.9795,4668.2738,0.6191,1.1821,2.4211
5,2875.2194,19452611.8805,4410.5115,0.6422,1.2144,2.2807
6,3101.8102,22865990.3768,4781.8396,0.6107,1.1528,2.189
7,2995.4657,21561763.5756,4643.4646,0.6329,1.2062,2.4165
8,2864.6122,21342903.3482,4619.838,0.5719,1.1938,2.3732
9,2883.0664,21371800.5233,4622.9645,0.5928,1.1965,2.3441
Mean,2964.1137,21127329.8543,4595.214,0.6085,1.1926,2.3089
Std,74.8642,974254.5891,106.4793,0.0273,0.0225,0.1011
