Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,3315.2357,22088083.0585,4699.7961,0.5872,1.4028,4.0948
1,3183.791,20545338.0709,4532.6966,0.5757,1.4056,4.1853
2,3319.0398,22498896.1522,4743.3001,0.5991,1.4444,4.1792
3,3162.3961,19919974.6669,4463.1799,0.6169,1.4153,4.3467
4,3377.1913,23070535.8565,4803.1798,0.5967,1.422,4.3334
5,3234.4499,21534054.0352,4640.4799,0.6039,1.4919,4.8559
6,3415.4891,25142811.3618,5014.2608,0.5719,1.3942,4.2084
7,3278.9545,21417282.1633,4627.881,0.6353,1.4384,4.4772
8,3090.6998,20327037.2053,4508.5516,0.5923,1.4853,4.9967
9,3231.0817,22603798.6864,4754.3452,0.5693,1.4006,4.2283
Mean,3260.8329,21914781.1257,4678.7671,0.5948,1.43,4.3906
Std,95.0187,1461845.871,154.6598,0.0196,0.0331,0.2882
