Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,3329.3293,22105079.032,4701.6039,0.5869,1.4229,4.1685
1,3200.6485,20631649.9939,4542.2076,0.5739,1.423,4.2844
2,3333.8863,22487330.5775,4742.0808,0.5993,1.4236,4.2318
3,3171.355,19885079.9304,4459.269,0.6176,1.4501,4.4734
4,3393.4818,23117076.3375,4808.0221,0.5959,1.4107,4.4041
5,3241.2494,21506152.2692,4637.4726,0.6044,1.5083,4.9288
6,3426.3653,25106594.5687,5010.6481,0.5726,1.4118,4.2737
7,3284.4435,21322131.9181,4617.5894,0.6369,1.4481,4.5461
8,3108.6849,20400425.6775,4516.683,0.5909,1.5031,5.1222
9,3245.1882,22658513.1171,4760.0959,0.5683,1.4216,4.3005
Mean,3273.4632,21922003.3422,4679.5672,0.5947,1.4423,4.4733
Std,94.548,1453527.5767,153.7976,0.0203,0.0341,0.2992
